input_text,target_text
"<img src='map.png'>","<img src='map.png' alt='Mapa de ubicación de la oficina'>"
"<div role='link' (click)='go()'>Ir</div>","<a href='#' (click)='go()'>Ir</a>"
"<span role='button'>Aceptar</span>","<button type='button'>Aceptar</button>"
"<a href='#' onclick='print()'>Imprimir</a>","<button type='button' onclick='print()'>Imprimir</button>"
"<div class='card' (click)='expand()'>Ver detalles</div>","<button type='button' class='card' (click)='expand()'>Ver detalles</button>"
"<input type='date'>","<input type='date' aria-label='Selecciona una fecha'>"
"<img src='warning.svg'>","<img src='warning.svg' alt='Advertencia'>"
"<div aria-label='Boton'></div>","<button type='button'>Boton</button>"
"<a href='#'>Aquí</a>","<a href='#' aria-label='Haga clic aquí para más información'>Aquí</a>"
"<button>X</button>","<button type='button' aria-label='Cerrar'>X</button>"
"<input placeholder='Nombre'>","<input type='text' placeholder='Nombre' aria-label='Nombre'>"
"<div (click)='play()'>▶</div>","<button type='button' aria-label='Reproducir' (click)='play()'>▶</button>"
"<img src='1.jpg'>","<img src='1.jpg' alt='Imagen 1'>"
"<a href='home'>Inicio</a>","<a href='home'>Inicio</a>"
"<span (click)='like()'>❤️</span>","<button type='button' aria-label='Me gusta' (click)='like()'>❤️</button>"
"<div role='alert'>Error</div>","<div role='alert'>Error</div>"
"<input type='submit'>","<input type='submit' value='Enviar'>"
"<img src='graph.png'>","<img src='graph.png' alt='Datos estadísticos del año'>"
"<a href='#' onclick='download()'>Descargar</a>","<button type='button' onclick='download()'>Descargar</button>"
"<div class='tab' (click)='select()'>Pestaña 1</div>","<button role='tab' (click)='select()'>Pestaña 1</button>"
"<input type='radio'>","<input type='radio' aria-label='Opción'>"
"<img src='check.png'>","<img src='check.png' alt='Completado'>"
"<div (click)='back()'>Atrás</div>","<button type='button' (click)='back()'>Atrás</button>"
"<a href='#'>Link</a>","<a href='#' aria-label='Enlace de destino'>Link</a>"
"<span class='menu-icon' (click)='toggleMenu()'>☰</span>","<button type='button' class='menu-icon' aria-label='Abrir menú' (click)='toggleMenu()'>☰</button>"
"<input type='number'>","<input type='number' aria-label='Cantidad'>"
"<img src='footer-logo.png'>","<img src='footer-logo.png' alt='Logo pie de página'>"
"<div role='dialog'>Ventana</div>","<div role='dialog' aria-modal='true' aria-label='Ventana modal'>Ventana</div>"
"<button disabled>Enviar</button>","<button disabled aria-disabled='true'>Enviar</button>"
"<a href='#' role='button'>Botón Falso</a>","<button type='button'>Botón Falso</button>"
"<img src='arrow.png'>","<img src='arrow.png' alt='Flecha derecha'>"
"<div (click)='refresh()'>Refrescar</div>","<button type='button' (click)='refresh()'>Refrescar</button>"
"<input type='file'>","<input type='file' aria-label='Subir archivo'>"
"<a href='#' onclick='close()'>Cancelar</a>","<button type='button' onclick='close()'>Cancelar</button>"
"<span (click)='edit()'>Editar</span>","<button type='button' (click)='edit()'>Editar</button>"
"<img src='loading.gif'>","<img src='loading.gif' alt='Cargando...'>"
"<div class='slider' (click)='slide()'>Slider</div>","<div class='slider' role='slider' tabindex='0' (click)='slide()'>Slider</div>"
"<input type='range'>","<input type='range' aria-label='Seleccionar valor'>"
"<a href='#'>Ver</a>","<a href='#' aria-label='Ver elemento'>Ver</a>"
"<div (click)='delete()'>Borrar</div>","<button type='button' (click)='delete()'>Borrar</button>"
"<img src='team.jpg'>","<img src='team.jpg' alt='Nuestro equipo de trabajo'>"
"<button class='hamburger'></button>","<button class='hamburger' aria-label='Menú principal'></button>"
"<span (click)='search()'>🔍</span>","<button type='button' aria-label='Buscar' (click)='search()'>🔍</button>"
"<input type='url'>","<input type='url' aria-label='Sitio web'>"
"<a href='#' onclick='help()'>Ayuda</a>","<button type='button' onclick='help()'>Ayuda</button>"
"<div class='toggle' (click)='switch()'>ON</div>","<button role='switch' aria-checked='true' (click)='switch()'>ON</button>"
"<img src='bg.jpg'>","<img src='bg.jpg' alt='' role='presentation'>"
"<div (click)='upload()'>Subir</div>","<button type='button' (click)='upload()'>Subir</button>"
"<a href='#'>Más info</a>","<a href='#' aria-label='Más información sobre el producto'>Más info</a>"
"<span class='star' (click)='rate()'>★</span>","<button type='button' aria-label='Calificar con estrella' (click)='rate()'>★</button>"
"<input type='color'>","<input type='color' aria-label='Seleccionar color'>"
"<img src='error.png'>","<img src='error.png' alt='Error'>"
"<div (click)='zoom()'>Zoom</div>","<button type='button' (click)='zoom()'>Zoom</button>"
"<a href='#' onclick='share()'>Compartir</a>","<button type='button' onclick='share()'>Compartir</button>"
"<span (click)='copy()'>Copiar</span>","<button type='button' (click)='copy()'>Copiar</button>"
"<img src='success.png'>","<img src='success.png' alt='Éxito'>"
"<div class='accordion' (click)='toggle()'>Título</div>","<button type='button' aria-expanded='false' class='accordion' (click)='toggle()'>Título</button>"
"<input type='month'>","<input type='month' aria-label='Seleccionar mes'>"
"<a href='#'>Detalles</a>","<a href='#' aria-label='Ver detalles completos'>Detalles</a>"
"<div (click)='filter()'>Filtrar</div>","<button type='button' (click)='filter()'>Filtrar</button>"
"<img src='avatar.png'>","<img src='avatar.png' alt='Avatar del usuario'>"
"<button class='close'></button>","<button class='close' aria-label='Cerrar ventana'></button>"
"<span (click)='mute()'>Silenciar</span>","<button type='button' (click)='mute()'>Silenciar</button>"
"<input type='week'>","<input type='week' aria-label='Seleccionar semana'>"
"<a href='#' onclick='settings()'>Ajustes</a>","<button type='button' onclick='settings()'>Ajustes</button>"
"<div class='dropdown' (click)='drop()'>Opciones</div>","<button aria-haspopup='true' aria-expanded='false' (click)='drop()'>Opciones</button>"
"<img src='logo-white.png'>","<img src='logo-white.png' alt='Logo versión blanca'>"
"<div (click)='add()'>Añadir</div>","<button type='button' (click)='add()'>Añadir</button>"
"<a href='#'>Perfil</a>","<a href='#' aria-label='Ir a mi perfil'>Perfil</a>"
"<span (click)='trash()'>🗑️</span>","<button type='button' aria-label='Eliminar elemento' (click)='trash()'>🗑️</button>"
"<input type='time'>","<input type='time' aria-label='Seleccionar hora'>"
"<img src='slide1.jpg'>","<img src='slide1.jpg' alt='Diapositiva 1 de presentación'>"
"<div (click)='pause()'>Pausa</div>","<button type='button' (click)='pause()'>Pausa</button>"
"<a href='#' onclick='logout()'>Salir</a>","<button type='button' onclick='logout()'>Salir</button>"
"<span class='info-icon' (click)='info()'>i</span>","<button type='button' class='info-icon' aria-label='Información' (click)='info()'>i</button>"
"<input type='datetime-local'>","<input type='datetime-local' aria-label='Fecha y hora local'>"
"<img src='promo.jpg'>","<img src='promo.jpg' alt='Promoción especial'>"
"<div (click)='start()'>Empezar</div>","<button type='button' (click)='start()'>Empezar</button>"
